comment_id,video_id,channel_id,comment_text,published_at
UgxS_UCXo5WIi2QVzop4AaABAg,n4ivsdzZow4,UCFfbH3zDLa47d4nfotQ349Q,😌😌😌😌😌😌😌😌😌😌😌😌😌,2025-11-03 11:49:46
UgwYphDBoOs6GsgXecN4AaABAg,n4ivsdzZow4,UCFfbH3zDLa47d4nfotQ349Q,OCBC 於31/10做到1m3個月3%,2025-11-02 07:30:50
UgzOsxrkgwSbWX1RdCF4AaABAg,72vL_7-XFHA,UCFfbH3zDLa47d4nfotQ349Q,Mox做10萬定期3年冇飛行裡數，你呃我。,2025-10-28 05:26:15
Ugxyxq-lfb2Mp5776JF4AaABAg,72vL_7-XFHA,UCFfbH3zDLa47d4nfotQ349Q,又或者做ZA活期錢罌都幾好，最高有5厘，又有彈性,2025-10-20 06:06:06
Ugw9HGz3xOQgAzU4aHR4AaABAg,b3Rh_hnIwMw,UCFfbH3zDLa47d4nfotQ349Q,Thanks,2025-10-05 05:00:11
UgwZn4bTrqq6dGi9hP54AaABAg,xewof_jui1M,UCFfbH3zDLa47d4nfotQ349Q,Thanks for sharing !,2025-09-04 22:56:21
UgzXcSYrb04iRNNiGwB4AaABAg,7BGLrzkdR74,UCFfbH3zDLa47d4nfotQ349Q,繼續涉獵多類龍頭板塊。,2025-08-28 09:16:00
UgwJRHXiHEnM5Y7WmCd4AaABAg,CnNsGgR9K_A,UCFfbH3zDLa47d4nfotQ349Q,"我喜歡這一集。
希望有多些行業分析。",2025-08-18 08:26:45
UgybiWYwqWK7tUx9GHZ4AaABAg,HqU-shExPkU,UCFfbH3zDLa47d4nfotQ349Q,商務合作，請查收📧,2025-08-13 07:06:32
Ugz2-o2vjZB3ewIc6wl4AaABAg,HqU-shExPkU,UCFfbH3zDLa47d4nfotQ349Q,*323 祝投資最容易视频越做越好❤️！-_-模 特 经纪人阿泽永远支持老师！*,2025-08-12 21:19:52
UgzsIzVx4EEK7zmrivV4AaABAg,HqU-shExPkU,UCFfbH3zDLa47d4nfotQ349Q,interactive broker  唔喺銀行，無款保障。,2025-08-10 03:51:02
UgxqKPTDlgy9AjjI7Yt4AaABAg,HqU-shExPkU,UCFfbH3zDLa47d4nfotQ349Q,為什麼不加入南洋銀行呢😅,2025-08-07 19:27:40
UgzG3b3RkllMj5ptIel4AaABAg,QMbQMoC3N3o,UCFfbH3zDLa47d4nfotQ349Q,同鮑威爾講有差異？😮,2025-08-02 19:14:34
UgzJEXVS3mdTcSPb4yV4AaABAg,QMbQMoC3N3o,UCFfbH3zDLa47d4nfotQ349Q,Thanks for sharing !😊,2025-08-02 12:52:06
UgyvRFLuio9tQPhxS354AaABAg,scF_p2X4aZM,UCFfbH3zDLa47d4nfotQ349Q,原來利息分別好大， 唔明白有啲大行咁低息， 真係有人會存美元， 莫非好多人貪方便， 最後多謝主持提供 資訊， 可以令退休人士收息賺多啲， 功德無量🙏🙏🙏 。,2025-07-20 08:11:57
UgwIGTmEba1aUFhl05p4AaABAg,scF_p2X4aZM,UCFfbH3zDLa47d4nfotQ349Q,Thx 🙏 版主,2025-07-20 07:07:03
UgxjWKZvF7WYpwAV_Oh4AaABAg,scF_p2X4aZM,UCFfbH3zDLa47d4nfotQ349Q,Buy more usd,2025-07-19 13:03:16
Ugzb21OLAl6VoWR6FHd4AaABAg,scF_p2X4aZM,UCFfbH3zDLa47d4nfotQ349Q,辛苦了，好有用的資訊！ thx,2025-07-19 09:24:33
UgzZ6yyL3OVXA7ROQOB4AaABAg,7j9Jcye5Gkw,UCFfbH3zDLa47d4nfotQ349Q,💪💪💪,2025-07-15 19:19:40
UgyWKz61aUmefgcKQ3x4AaABAg,7j9Jcye5Gkw,UCFfbH3zDLa47d4nfotQ349Q,非常好，加油努力,2025-07-15 16:56:37
UgyFOJWGn1DQsFJCrHV4AaABAg,7j9Jcye5Gkw,UCFfbH3zDLa47d4nfotQ349Q,勁🎉,2025-07-15 11:14:44
UgzsrEomQhaW2BsIwRR4AaABAg,1HdfJET6r0w,UCFfbH3zDLa47d4nfotQ349Q,Moneyhero呃人架 我申請左半年都拎唔到禮品,2025-07-26 01:34:07
